date,platform,campaign_name,impressions,clicks,spend,conversions,conversion_value
2026-01-21,Google Ads,Brand_Search,43315,1769,1742.25,30,2652.61
2026-01-21,Google Ads,Competitor_Search,19130,424,305.59,14,1006.2
2026-01-21,Google Ads,Display_Retargeting,7368,337,965.01,33,1753.59
2026-01-21,Google Ads,YouTube_Awareness,40170,1753,5034.48,71,2347.82
2026-01-21,Meta Ads,Lookalike_1%,49708,1687,2719.69,89,2890.84
2026-01-21,Meta Ads,Interest_Targeting,44598,2169,6119.27,142,8216.95
2026-01-21,Meta Ads,Retargeting,14469,269,654.1,8,526.09
2026-01-21,Meta Ads,Broad_Audience,6805,131,137.19,2,69.12
2026-01-21,TikTok Ads,Trend_Jacker,49164,2074,4113.01,66,6441.62
2026-01-21,TikTok Ads,Creator_Partnership,46097,1655,2847.23,137,6031.34
2026-01-21,TikTok Ads,Spark_Ads,22179,419,1001.93,11,827.75
2026-01-21,TikTok Ads,In_Feed_Ads,44081,1971,5782.41,179,14440.36
2026-01-22,Google Ads,Brand_Search,12826,441,584.58,9,752.0
2026-01-22,Google Ads,Competitor_Search,48282,1102,1564.4,30,2961.41
2026-01-22,Google Ads,Display_Retargeting,42476,1037,2229.28,82,8185.11
2026-01-22,Google Ads,YouTube_Awareness,43560,1109,1671.37,92,1890.63
2026-01-22,Meta Ads,Lookalike_1%,9386,335,873.72,15,402.33
2026-01-22,Meta Ads,Interest_Targeting,24834,200,350.21,14,469.96
2026-01-22,Meta Ads,Retargeting,5664,231,431.07,17,599.45
2026-01-22,Meta Ads,Broad_Audience,42893,2111,1781.07,185,5756.47
2026-01-22,TikTok Ads,Trend_Jacker,28581,742,1234.77,47,3229.36
2026-01-22,TikTok Ads,Creator_Partnership,47555,1791,4758.53,165,8933.14
2026-01-22,TikTok Ads,Spark_Ads,14600,686,694.93,45,2872.78
2026-01-22,TikTok Ads,In_Feed_Ads,15500,504,768.64,11,437.33
2026-01-23,Google Ads,Brand_Search,17264,835,1669.26,57,2984.06
2026-01-23,Google Ads,Competitor_Search,49906,2491,6813.38,42,2817.23
2026-01-23,Google Ads,Display_Retargeting,8755,276,740.68,15,1348.37
2026-01-23,Google Ads,YouTube_Awareness,28171,309,634.04,9,736.5
2026-01-23,Meta Ads,Lookalike_1%,10971,461,966.05,33,3089.08
2026-01-23,Meta Ads,Interest_Targeting,41079,509,451.04,5,116.19
2026-01-23,Meta Ads,Retargeting,46856,1301,890.96,101,3280.56
2026-01-23,Meta Ads,Broad_Audience,47171,1557,3661.01,47,3073.39
2026-01-23,TikTok Ads,Trend_Jacker,46941,712,1081.44,45,2758.38
2026-01-23,TikTok Ads,Creator_Partnership,49999,717,2122.45,12,347.25
2026-01-23,TikTok Ads,Spark_Ads,41599,1894,4701.79,184,4087.18
2026-01-23,TikTok Ads,In_Feed_Ads,17351,742,421.17,24,2066.63
2026-01-24,Google Ads,Brand_Search,8495,394,855.27,17,1611.38
2026-01-24,Google Ads,Competitor_Search,28121,690,1654.0,49,3314.41
2026-01-24,Google Ads,Display_Retargeting,12346,516,1159.57,36,2640.65
2026-01-24,Google Ads,YouTube_Awareness,5129,112,186.8,5,328.94
2026-01-24,Meta Ads,Lookalike_1%,29005,566,607.35,52,4947.53
2026-01-24,Meta Ads,Interest_Targeting,24050,687,1554.85,31,1783.21
2026-01-24,Meta Ads,Retargeting,48824,587,438.82,48,4764.47
2026-01-24,Meta Ads,Broad_Audience,17360,856,784.33,14,990.69
2026-01-24,TikTok Ads,Trend_Jacker,34495,875,920.57,27,1501.38
2026-01-24,TikTok Ads,Creator_Partnership,18449,770,654.15,48,1363.52
2026-01-24,TikTok Ads,Spark_Ads,49065,1111,628.58,80,6846.32
2026-01-24,TikTok Ads,In_Feed_Ads,40440,1556,4488.83,44,2639.84
2026-01-25,Google Ads,Brand_Search,39831,1242,1448.09,64,1623.05
2026-01-25,Google Ads,Competitor_Search,27485,1131,2439.09,95,6232.99
2026-01-25,Google Ads,Display_Retargeting,19294,286,467.52,8,663.68
2026-01-25,Google Ads,YouTube_Awareness,8734,163,256.25,15,1375.7
2026-01-25,Meta Ads,Lookalike_1%,18163,464,324.08,32,886.46
2026-01-25,Meta Ads,Interest_Targeting,21015,752,1064.29,45,3826.17
2026-01-25,Meta Ads,Retargeting,45581,1386,2130.34,63,3726.92
2026-01-25,Meta Ads,Broad_Audience,32163,1217,1953.77,92,2049.38
2026-01-25,TikTok Ads,Trend_Jacker,27088,1084,1479.63,101,3654.89
2026-01-25,TikTok Ads,Creator_Partnership,29586,446,801.71,33,973.12
2026-01-25,TikTok Ads,Spark_Ads,27218,616,1388.58,55,2927.15
2026-01-25,TikTok Ads,In_Feed_Ads,33034,215,407.26,5,171.0
2026-01-26,Google Ads,Brand_Search,27906,1116,601.81,109,5138.83
2026-01-26,Google Ads,Competitor_Search,7751,185,313.91,2,151.63
2026-01-26,Google Ads,Display_Retargeting,18502,796,1899.62,46,924.7
2026-01-26,Google Ads,YouTube_Awareness,47720,787,1824.16,26,794.84
2026-01-26,Meta Ads,Lookalike_1%,44589,1426,1762.11,103,9749.01
2026-01-26,Meta Ads,Interest_Targeting,43094,1947,2737.5,27,2449.44
2026-01-26,Meta Ads,Retargeting,23681,268,385.48,6,353.08
2026-01-26,Meta Ads,Broad_Audience,37367,560,674.11,39,3552.41
